L_FW_X	L_FW_Y	L_HW_X	L_HW_Y	L_Band_X	L_Band_Y	L_N1_X	L_N1_Y	L_N2_X	L_N2_Y	L_N3_X	L_N3_Y	L_N4_X	L_N4_Y	L_BandN1_X	L_BandN1_Y	L_BandN2_X	L_BandN2_Y	L_BandN3_X	L_BandN3_Y	L_BandN4_X	L_BandN4_Y	L_Yb_X	L_Yb_Y	L_Hwden_X	L_Hwden_Y	L_Fwden1_X	L_Fwden1_Y	L_Fwden2_X	L_Fwden2_Y	L_Fwden3_X	L_Fwden3_Y	L_Fwden4_X	L_Fwden4_Y	L_ray1_X	L_ray1_Y	L_ray2_X	L_ray2_Y	L_ray3_X	L_ray3_Y	L_ray4_X	L_ray4_Y	L_ray6_X	L_ray6_Y	L_ray5_X	L_ray5_Y
47.572917	115.5547	75.202417	142.40775	58.27025	88.110865	66.463258	78.765778	66.266367	72.759149	75.3011	57.037431	92.998832	46.014513	66.463996	78.751096	67.674371	70.761405	76.877431	56.033187	92.998832	46.014513	94.5115	160.2238	137.99723	156.53443	133.17676	121.71809	147.84651	122.54461	141.60714	94.763615	166.76589	100.89158	155.22573	190.55377	139.88666	195.08305	126.13057	194.952	111.68572	189.78558	91.819924	172.10203	102.80026	180.25717
47.572917	115.5547	76.550629	141.85862	57.85784	87.452571	66.906772	78.546342	66.644169	72.162449	75.724753	56.775484	93.766099	46.273877	66.90751	78.53166	67.857143	70.576467	77.103557	55.868213	93.766099	46.273877	94.5115	160.2238	137.99723	156.53443	134.49597	121.91931	146.93594	122.37638	142.26922	94.455011	167.50485	101.6209	155.71224	189.86462	140.31029	194.33051	126.3313	194.61518	112.26146	189.13063	92.686953	171.68606	103.34049	179.82533
47.572917	115.5547	77.89884	141.30949	57.44544	86.794277	67.350287	78.326907	67.021972	71.56575	76.148406	56.513537	94.533366	46.533241	67.351025	78.312225	68.039915	70.391529	77.329682	55.703239	94.533366	46.533241	94.5115	160.2238	137.99723	156.53443	135.81519	122.12052	146.02537	122.20815	142.93131	94.146407	168.24381	102.35023	156.19874	189.17547	140.73393	193.57796	126.53203	194.27836	112.8372	188.47568	93.553982	171.27008	103.88073	179.39349
44.49363	112.8514	79.259911	140.79093	57.30029	85.868442	68.11814	78.076553	67.674371	70.761405	76.877431	56.033187	95.640585	46.939961	68.118878	78.061871	68.276212	70.110639	77.934306	55.15465	95.640585	46.939961	96.53181	158.881	142.33478	156.66007	137.86404	122.43384	144.71494	121.8814	143.54197	93.763225	169.26938	103.29043	156.94077	188.10198	141.4109	192.42088	126.92114	193.53642	113.71498	187.46009	94.822962	170.96194	104.82643	178.69479
44.49363	112.8514	80.631897	140.30277	57.35144	85.643293	68.364849	78.034746	67.857143	70.576467	77.103557	55.868213	95.913681	47.052852	68.365587	78.020064	68.571882	69.815535	78.648338	54.666413	95.913681	47.052852	96.53181	158.881	142.33478	156.66007	138.45314	122.51555	144.38779	121.75793	144.00898	93.22112	169.55865	103.50122	157.14096	187.79665	141.60986	192.0898	127.34962	192.71302	113.95694	187.16531	95.14285	171.00287	105.14067	178.48091
44.49363	112.8514	82.003882	139.81462	57.40259	85.418144	68.611558	77.992939	68.039915	70.391529	77.329682	55.703239	96.186777	47.165743	68.612296	77.978257	68.867552	69.520431	79.36237	54.178176	96.186777	47.165743	96.53181	158.881	142.33478	156.66007	139.04224	122.59726	144.06064	121.63446	144.43171	92.730415	169.84792	103.71201	157.34115	187.49132	141.80882	191.75872	127.7781	191.88961	114.1989	186.87053	95.462738	171.0438	105.45492	178.26703
42.801731	111.04547	83.386781	139.35687	57.67369	84.701529	69.143989	77.887917	68.276212	70.110639	77.934306	55.15465	96.751396	47.213277	69.144727	77.873235	69.432726	69.090219	80.51769	53.788509	96.751396	47.213277	98.80465	157.8709	148.36251	156.41261	140.34077	122.94226	143.45614	121.47159	144.71192	92.135653	170.98275	105.10922	157.75065	186.88116	142.22293	191.09129	128.42505	190.65338	114.67646	186.25042	96.040893	171.1987	106.27827	177.62526
42.801731	111.04547	84.778647	138.92936	58.05903	83.781378	69.742187	77.764461	68.571882	69.815535	78.648338	54.666413	97.367626	47.241843	69.742925	77.749779	69.642857	68.969324	80.84957	53.826726	97.367626	47.241843	98.80465	157.8709	148.36251	156.41261	141.71038	123.32368	142.77648	121.26525	144.90897	91.503222	172.34595	106.72718	158.22103	186.21047	142.69276	190.3526	128.60415	190.32203	115.20199	185.57213	96.549887	171.48688	107.17678	177.086
42.801731	111.04547	86.170513	138.50186	58.44437	82.861227	70.340385	77.641005	68.867552	69.520431	79.36237	54.178176	97.983856	47.270409	70.341123	77.626323	69.852988	68.848429	81.18145	53.864943	97.983856	47.270409	98.80465	157.8709	148.36251	156.41261	143.07998	123.70511	142.09681	121.0589	145.10603	90.87079	173.70914	108.34513	158.6914	185.53977	143.16259	189.61391	128.78325	189.99068	115.72752	184.89383	97.058881	171.77506	108.07529	176.54673
40.77953	108.7955	87.571348	138.1046	58.94396	81.73754	71.259239	77.441339	69.432726	69.090219	80.51769	53.788509	98.891464	47.298518	71.259977	77.426657	70.135506	68.656807	81.822102	53.976711	98.891464	47.298518	101.33003	157.3658	154.38212	156.01591	144.95732	124.23668	141.02806	120.66035	145.21993	90.20069	175.90208	110.73072	159.4445	184.53484	143.89906	188.49588	129.11937	189.35918	116.51794	183.89355	97.520337	172.48358	109.35637	176.20807
